	id	dif_number	dif_level	correlation	means_len	fk_mean	often_w	often_n	often_aw	often_an	slang
213	4562	4.7	medium	0.8390000000000001	207.91	68.2263	0.69714	0.78913	0.44706	0.34783	0.00311
147	4598	3.7	medium	0.8288	202.26	66.454	0.71093	0.79576	0.61905	0.56818	0.01538
188	4597	4.6	medium	0.8254	190.29	65.1413	0.72377	0.8058	0.56452	0.47619	0.01166
268	4242	5.0	medium	0.9443	205.41	66.2192	0.69767	0.78447	0.46575	0.44755	0.00887
499	3449	4.0	medium	0.8144	200.37	72.6658	0.69578	0.81492	0.58333	0.6	0.00218
737	3285	3.6	medium	0.9014	198.77	59.4608	0.71297	0.79264	0.5514	0.47619	0.00288
146	4501	4.0	medium	0.7511	176.14	63.9407	0.70084	0.78549	0.65278	0.625	0.0
125	4775	4.0	medium	0.8083	156.97	73.1538	0.68436	0.79268	0.55714	0.52381	0.01304
861	2923	3.8	medium	0.8235	207.58	76.8118	0.67332	0.79864	0.62319	0.66667	0.01663
734	3184	4.4	medium	0.8798	213.38	59.5235	0.73262	0.84677	0.43548	0.34884	0.01472
254	3988	4.7	medium	0.7674	255.3	61.3645	0.69646	0.80309	0.50746	0.47917	0.01614
801	2993	4.4	medium	0.8973	180.78	65.1566	0.73063	0.84561	0.53165	0.47826	0.0135
364	4183	3.7	medium	0.8824	169.46	70.7811	0.67233	0.78344	0.5119	0.4898	0.00607
29	5115	3.7	medium	0.8844	235.07	62.796	0.68689	0.75781	0.5375	0.55319	0.00572
625	3564	4.0	medium	0.8657	204.98	65.4112	0.70029	0.80656	0.48113	0.41538	0.00336
614	3660	4.2	medium	0.7814	234.41	66.0475	0.70968	0.80583	0.40426	0.36842	0.01075
557	3762	3.9	medium	0.9493	232.66	69.084	0.69785	0.7613	0.52258	0.49485	0.00287
109	4751	4.6	medium	0.8444	200.52	65.182	0.72124	0.79525	0.48649	0.43182	0.00619
322	4302	4.0	medium	0.7336	198.16	64.7466	0.70199	0.82353	0.46154	0.45946	0.00637
286	3986	4.0	medium	0.7139	234.97	64.0313	0.69933	0.80851	0.58333	0.57447	0.01114
646	3587	3.6	medium	0.8145	214.78	67.6629	0.69697	0.79198	0.48529	0.48649	0.0037
237	4527	4.2	medium	0.7686	152.57	70.1698	0.71863	0.85764	0.46	0.44737	0.00686
514	3850	4.3	medium	0.8366	213.51	65.7419	0.72483	0.80886	0.35088	0.33333	0.02237
824	3123	4.2	medium	0.8069	213.53	67.0309	0.68248	0.76633	0.45098	0.45946	0.00365
343	4246	4.6	medium	0.9295	200.78	68.9316	0.67337	0.76064	0.44828	0.55263	0.02172
224	4427	4.1	medium	0.8491	217.28	66.0431	0.74745	0.8427	0.43137	0.4	0.00425
137	4724	4.7	medium	0.8812	208.93	68.2814	0.69803	0.77393	0.49398	0.46	0.01208
841	2960	4.0	medium	0.8942	212.67	65.6858	0.72007	0.81179	0.41429	0.40909	0.01124
